Distance from dealer,Sales Source,Free Shipping Cost,Stock Number,Car Class,Body,Color,Year,Make,Model,Mileage,Age,Trade ACV,Acquisition Cost,RECONDITIONING COST,Total Cost,Sale Price,Front Gross,Financing,warranty,insurance,other_products,Theft,Ultimate,Dent/Ding,Windshield,Tire/Wheel,Roadside,Bank Fees,Back Gross,Total Gross
15.971,eBay,0,5T206162,"SUV, Compact Sport Utility",4D Sport Utility,Red,13,NISS,JUKE,26854,8,0,17190,1147.74,18805.74,18780,99.26,421.65,0,0,,,,,,,,,421.65,520.91
33.257,Cargurus,0,5A158562,"SUV, Luxury Sport Utility",4D Sport Utility,,13,MLT,GL4504,18277,4,0,46595,590.13,47653.13,53980,6451.87,503.55,0,0,200,125,,,,,,,828.55,7280.42
24.856,EMAIL,0,3F237215,"Car, Intermediate",4D Sedan,Gold,9,CHEV,MALI,23300,78,8000,12175,931.25,13574.25,12990,-459.25,493.92,1000,0,200,125,,,,,,,1818.92,1359.67
6.825,Repeat,0,1R133321,"SUV, Luxury Sport Utility",4D Sport Utility,,10,CADI,ESCAL,72020,4,32500,28500,1240.53,30208.53,31980,1896.47,240.24,1000,0,,,,,,,,,1240.24,3136.71
42.529,Cars.com,0,1S652053,"Car, Luxury Sport",2D Cabriolet,,0,PORS,911,48575,8,3500,21000,1611.48,23079.48,23980,1025.52,362.88,0,0,200,125,,,,,,150,837.88,1863.4
0,Unknown,0,3H157363,"Car, Sport",2D Coupe,Yellow,10,DODG,CHAL,6218,156,21000,26825,602.38,27895.38,26990,-780.38,0,0,242,200,125,,,,,,,567,-213.38
4.744,eBay,0,1G700923,"SUV, Compact Sport Utility",4D Sport Utility,,9,HOND,CRV,55439,11,0,12500,1638.8,14606.8,14980,498.2,419.04,1000,0,200,125,,,,,,,1744.04,2242.24
1584.848,Cars.com,500,3S754461,"Car, Luxury Sport",2D Cabriolet,,12,PORS,911,13561,143,0,82595,425.27,83488.27,79990,-3373.27,0,0,0,200,125,,,,,,,325,-3048.27
658.208,eBay,400,9G310428,"Truck, Large Pick-up",4D Crew Cab,,11,GMC,SIER15,24341,13,13000,30000,840.87,31308.87,33980,2796.13,950.94,0,0,,,,,,,,,950.94,3747.07
734.646,Cars.com,350,2S720244,"Car, Luxury Sport",2D Coupe,Green,9,PORS,911,6522,31,0,60000,579.65,61047.65,62990,2067.35,1085.44,0,0,,,,,,,,,1085.44,3152.79
731.446,Autotrader,350,2DA54049,"Van, Full Size Vans",Cargo Van,White,13,FORD,E250,10709,41,0,17930,1112.38,19510.38,19980,594.62,217.05,0,0,,,,,,,,,217.05,811.67
23.942,eBay,0,4EA57753,"Truck, Large Pick-up",4D Crew Cab,White,15,FORD,F350,7847,8,11000,54635,400.75,55503.75,56980,1601.25,2200.32,1000,242,200,125,,,,,,,3767.32,5368.57
15.43,Cars.com,0,2N024564,"Car, Luxury High",4D Hatchback,Black,12,AUDI,A7QT,29383,36,0,41500,582.42,42550.42,43500,1074.58,3300.82,1000,242,200,125,550,,,,200,295,5912.82,6987.4
9.56,eBay,0,4S207992,"Truck, Small Pick-up",4D Extended Cab,Silver,10,DODG,DAKO,66274,4,0,11685,731.8,12884.8,13980,1220.2,0,0,0,,,,,,,,,0,1220.2
36.495,Unknown,0,2c848015,"Car, Intermediate",4D Sedan,Red,13,NISS,maxima,4501,96,0,21500,545,22513,22780,267,0,0,0,,,,,,,,,0,267
1022.989,eBay,450,5N633301,"Car, Intermediate",2D Convertible,Black,13,CHRY,200CH,6100,11,0,22325,879.75,23672.75,24980,1432.25,150,0,0,,,,,,,,,150,1582.25
920.002,eBay,375,2FA26910,"Truck, Large Pick-up",4D SuperCrew,Orange,11,FORD,F150,38653,103,0,42705,2403.71,45576.71,44990,-461.71,0,1000,0,,,,,,,,,1000,538.29
449.711,eBay,375,3R319015,"Car, Luxury",4D Sedan,Black,14,MB,C250W,2505,62,0,28830,288.75,29586.75,29980,518.25,0,0,0,200,125,,,,,,,325,843.25
487.333,eBay,350,5S561268,"SUV, Luxury Sport Utility",4D Sport Utility,,14,CADI,SRX,6443,25,0,34475,874.92,35817.92,36500,807.08,0,0,0,,,,,,,,,0,807.08
